AD_comp01,AD_comp02,AD_comp03,AD_comp04,AD_comp05,AD_comp06,AD_comp07,AD_comp08,AD_comp09,AD_comp10,AD_comp11,AD_comp12,AD_comp13,AD_comp14,AD_comp15,AD_comp16,AD_comp17,AD_comp18,AD_comp19,AD_comp20,AD_comp21,AD_comp22,AD_comp23,AD_comp24,AD_comp25,AD_comp26,AD_comp27,AD_comp28,FA_comp01,FA_comp02,FA_comp03,FA_comp04,FA_comp05,FA_comp06,FA_comp07,FA_comp08,FA_comp09,FA_comp10,FA_comp11,FA_comp12,FA_comp13,FA_comp14,FA_comp15,FA_comp16,FA_comp17,FA_comp18,FA_comp19,FA_comp20,FA_comp21,FA_comp22,FA_comp23,FA_comp24,FA_comp25,FA_comp26,FA_comp27,FA_comp28,MD_comp01,MD_comp02,MD_comp03,MD_comp04,MD_comp05,MD_comp06,MD_comp07,MD_comp08,MD_comp09,MD_comp10,MD_comp11,MD_comp12,MD_comp13,MD_comp14,MD_comp15,MD_comp16,MD_comp17,MD_comp18,MD_comp19,MD_comp20,MD_comp21,MD_comp22,MD_comp23,MD_comp24,MD_comp25,MD_comp26,MD_comp27,MD_comp28,RD_comp01,RD_comp02,RD_comp03,RD_comp04,RD_comp05,RD_comp06,RD_comp07,RD_comp08,RD_comp09,RD_comp10,RD_comp11,RD_comp12,RD_comp13,RD_comp14,RD_comp15,RD_comp16,RD_comp17,RD_comp18,RD_comp19,RD_comp20,RD_comp21,RD_comp22,RD_comp23,RD_comp24,RD_comp25,RD_comp26,RD_comp27,RD_comp28
1.55904182,-1.031062093,0.348991633,-0.985278436,0.454355009,-1.079935331,0.998655298,-0.039296678,-1.355619162,-0.020011648,-1.432340518,-1.046032005,0.430526253,-1.525021439,0.114338124,-0.24325884,0.220355111,-0.829012729,-0.327195176,-1.461362207,-0.266800789,-0.571609518,0.909864639,-0.040677793,1.755584143,0.121027645,-0.146603897,0.475479243,-0.927716265,-0.372823035,-1.637019541,0.314699849,-1.488400206,-2.271570312,1.5998375,-1.700306161,-0.504278644,0.595374545,0.882470221,0.680927078,0.777938631,1.099233145,0.394367613,1.398539613,-0.166896102,0.966300579,-0.211406777,-0.631524996,-0.782182904,-2.490541758,0.510814658,-0.806009056,0.568733807,-0.618952674,0.037044188,-0.145007993,0.912504288,1.73958727,-0.847270633,-1.194705898,-1.497837836,-0.567219309,-0.907945865,-0.703636862,0.108317588,-0.184285683,-1.161780579,0.636702026,-0.607075752,-0.901611936,-0.124297617,-0.260606543,-0.213455883,1.217636927,-0.874364426,-0.146961982,-0.240475162,-0.214462824,0.979420061,0.200724275,-0.326257823,-0.637704081,-0.097762818,0.953536465,1.122029303,1.901622078,-0.855163659,-0.71676715,-1.611567908,-1.17992647,-0.49660893,-0.402074315,1.124719276,0.578400594,-0.715812501,-0.070791742,-1.493696695,-0.099243754,-0.249436164,0.311751454,-0.824903221,-0.19415513,1.113301446,0.21742516,1.220361679,0.314041275,-0.658188045,0.382674091,0.522207669,-0.240595691,0.584421273,-0.540687453
-0.846423224,-0.331396966,0.034909066,-0.310095931,0.591087628,-0.469001302,-0.6656073,0.186755646,-0.710436334,-0.881362372,0.123758227,-0.511551454,0.789579111,0.333404025,-1.058924452,-0.119373286,-0.018002821,-0.520509957,-0.398926243,0.343365071,-0.558868059,0.404888664,-0.250482881,-0.201513566,-0.806354536,-0.475757411,0.19353986,-0.041662553,-0.330700719,-0.376575023,0.751741506,0.618553687,-0.696746354,0.309589592,0.00492327,0.795088548,-0.439696771,-1.166658178,-0.309366198,-0.805562058,-0.807081601,-0.575515545,-0.720109084,-0.794359649,1.587206861,-1.468202614,-0.130139077,0.830125235,-0.101052654,-0.972996856,-0.709215057,-0.825961584,-0.135750634,1.053890843,1.825084066,-0.37938323,0.58743008,-0.927974378,-0.635294631,0.628014786,-0.069687605,-0.204775726,-0.312966238,-0.240429466,-0.521082734,-0.367273573,0.629463279,0.022353945,-0.7088481,-0.331319464,-0.437011569,-0.339939964,-0.893422743,0.05115413,0.236945476,-0.450985558,-0.291351083,-0.034931069,-0.060316785,-0.455107871,0.122606837,-0.004381794,-0.692737001,0.258779549,0.49564844,-0.929766361,0.053062153,0.134347827,-0.188721806,0.864680482,-0.561456143,0.354449152,0.692745575,-0.378866268,0.679318111,1.252503967,0.362675446,-0.843476127,0.09989824,-0.588483245,-0.249143105,-0.260853706,-0.328963313,0.238316604,-1.255818655,-0.278203755,-0.312312116,-0.249750243,-0.117358569,-0.167222272,0.112361607,0.588929884
-0.490383253,-0.84369761,-1.428881519,-1.057145418,0.718602811,-0.660883463,1.521867903,-0.651097065,-0.457101474,-0.019378815,-0.002609367,-0.807085617,-0.288998681,-0.514774637,1.817133503,-0.809055074,-0.62882179,0.058926655,-0.507930378,-0.216166577,-0.563866969,-0.412893095,-0.764110556,0.443616853,0.057796698,-0.517498581,0.480593584,0.584500802,-1.193074873,-0.073018978,-0.241676135,1.602484389,-0.244276388,-0.386106461,-0.037684974,-0.84781165,-0.598731086,0.705127139,-1.036640777,-0.352648007,-1.090447092,0.898093153,-0.341687636,0.58133614,0.083076012,-0.331216612,0.138014289,-0.947274813,-0.617136941,-0.863135301,0.867070783,0.920616406,-0.604532042,-1.203711222,-0.571110508,0.366046892,0.776428894,-0.376947603,-0.760249313,-2.027202739,-0.97909328,-0.694013693,-0.013938097,-0.875583349,-0.040071828,-0.258408293,0.423156707,-0.052733658,-0.355435903,0.042545832,-0.38921037,-0.384093602,0.162092157,-0.51108787,0.671965956,0.509840487,0.005965703,-0.47606272,0.649996478,-0.137828795,0.376033069,-0.351559404,-0.122391702,-0.564556028,0.78564946,-0.295580042,-1.086148158,-1.175135608,-0.820281282,-1.082385018,-0.096971509,0.366332358,1.01887378,0.09432524,0.390651749,0.084519518,1.431437237,-0.666268639,-0.468671578,0.010775221,-0.731856196,0.209588459,-0.479662299,0.056175378,-0.201937335,-0.109117364,0.048146139,-0.157178891,-0.052378711,0.300104628,-0.425900662,-0.183443918
0.722853437,0.413201016,-0.113090923,-0.897136516,-0.38160638,-1.205937426,-0.540756322,-0.296769948,-0.536704503,-0.460994312,-0.489362343,-1.307217887,1.101245083,-0.497165003,-0.614724824,-0.285739363,-0.102946864,0.186209048,-0.350093288,-0.571609623,0.015829196,-0.019307618,0.009333661,-0.392096695,-0.254965376,-1.51973707,-0.002248139,-0.068290907,-0.777238545,-0.266397529,-1.374278205,-0.516147063,-0.908605727,-1.023123234,0.962851738,-0.689542711,0.24168368,-0.410241063,-0.329417967,0.502779575,0.818835938,-0.31752213,0.90880715,-0.528062167,-0.186366745,-0.079083361,-0.407994895,-0.263429653,0.352557189,-0.747820523,-1.261578183,-1.120397516,-0.058735735,0.446729332,0.456551538,-0.500506369,0.241861714,0.629440197,-0.992604606,-0.035585589,0.112001672,-0.047214941,-0.812684328,-0.650653876,-0.549578301,-0.693011144,-0.107582596,-0.743412049,-0.776642019,-0.090592564,-0.627599611,-0.593676512,-0.781922983,-0.681109022,-0.115408028,-1.589367763,-0.657523163,-0.17720213,-1.776095748,0.651318014,-0.16132328,-0.065019407,-0.268447798,0.296346059,0.904491601,0.688139403,-0.055780553,0.179152244,-0.236894495,-0.163252922,-1.504442404,0.11062717,-1.113556825,-0.384967669,-0.105953747,-0.098510316,-0.576895233,0.164968629,-0.377625317,0.141116465,-0.045035198,0.483258571,-0.645612916,0.547728241,-0.585840854,0.147986946,-0.345886789,-0.17001883,0.110419448,-0.039709832,0.075160173,-0.324976894
-1.70424399,-1.140561884,-0.884692057,-0.781600426,1.056347609,0.180643899,0.184507937,-1.048739859,-0.492706371,-0.979326922,-1.028812015,0.557894559,0.614844118,0.11019232,0.445996445,-0.469454375,0.309426153,1.687648982,-0.86455067,-0.20602649,0.079715048,-0.603937055,-0.512028302,-0.533371282,0.020524763,0.408919093,0.123144877,-0.751216562,-0.453255287,-1.48414919,0.407386357,0.158148843,-0.277677157,2.112573888,-1.164915335,0.323624904,-0.29233221,0.034416641,-1.215811185,0.30017378,0.395494156,1.225004683,-0.333518501,0.853919703,-1.257421649,0.024204242,0.86478726,0.862133171,0.266486862,-0.810770612,-0.03348301,0.953658742,-0.227726925,-0.655761065,-0.657372885,0.41217585,0.58883884,-1.363374872,-0.69990285,-0.739772743,-0.541528133,-0.833606096,-0.53539827,-0.738206618,-0.451215901,-0.473258859,0.160835031,-0.215819174,-0.620179779,0.059200179,-0.684670656,-0.125383815,0.07308274,-0.300662714,0.616282798,0.29548214,-0.217899061,-0.491706155,0.354900471,0.180848847,0.065995897,-0.376641013,-0.357931976,0.176915489,0.419986125,-1.204875161,-0.867104378,0.132369544,-0.181914987,-0.935930546,-0.184965456,-0.194790633,0.569623717,-0.525198456,0.993901099,0.115318515,0.396197596,-0.225365146,-0.231523822,-0.915520418,0.373685582,-0.481483437,0.397924286,-0.165873524,-0.493488562,-0.920369265,-0.024155766,-0.273277746,-0.227233778,0.248468324,-0.116304427,-0.107904866
-0.156973002,-0.348029784,-1.877595012,-0.87384779,-0.269052426,-2.252883368,1.095352165,-1.226190657,-0.28243278,-0.668447909,0.414568161,-1.235251694,0.273558766,1.381467184,-0.176243627,-0.406983787,-0.199739627,-0.708846476,-0.689566399,1.045601814,0.629261627,-0.509985656,-1.339446425,0.826584459,-0.45163529,-2.046998075,0.108851905,1.575204674,-1.392448217,-0.748589679,-0.71506813,0.70122183,0.392627366,-0.69661727,0.221236628,1.129838601,1.554777221,1.195678548,-0.424324174,0.281651302,-0.36450086,-0.56516542,0.643848858,-0.618288553,1.027308786,-0.515865004,1.58610223,2.140824978,-0.7038906,0.312373457,-0.295091953,0.211345262,-0.396107186,0.733136819,-0.827016457,-0.685436617,0.163818927,-0.193143582,-1.093071584,-1.838935263,0.10921771,-1.048438801,0.19940361,-0.64280267,-1.058287267,-0.676070617,1.357362142,-1.230165941,-0.562496906,-0.445083317,-0.203691666,-0.763030581,0.44641051,-1.633390651,1.766012697,0.912999849,-0.004953185,-0.834700858,-1.529675859,-0.297854899,0.442477973,0.313962845,-0.04698196,-0.273848068,0.632484411,-0.212926006,-1.36989123,-1.411602471,-0.045820768,-0.925373209,-0.535365647,0.646184708,-1.107966148,-1.005096764,1.294694904,-1.226568334,1.632463717,-1.096489103,-0.613264499,-0.705474159,-0.477824422,-1.193344798,-0.860612059,0.514274093,-0.337627975,0.287252433,0.158056263,-0.272966602,-0.037865983,0.372190236,-0.31967274,0.167862412
-0.757022438,-0.894104097,-1.255726062,-1.403682225,-0.172654518,0.626783365,1.476729695,-0.806010345,0.841141637,-0.634464661,0.114835126,1.151730869,-0.066043525,-0.100867926,0.919116652,-0.901807266,-1.708688564,2.013532677,-0.935244003,2.652916285,-1.248774168,0.211476915,0.015871922,0.181814029,-0.34299499,-1.845760878,-0.265706483,1.611627888,-0.881490915,0.090100765,-0.553727891,0.711600366,0.189823975,1.247716569,0.882776611,0.259871411,-0.497718536,0.437974104,-0.967349522,0.022414928,-1.245682621,0.204302007,-0.071328071,0.357530963,0.849319048,-2.062252355,0.513355592,-0.976858673,-0.181398275,-0.20522768,-0.272393086,1.557051265,-0.476751459,0.894675691,-0.47745505,0.227327078,0.671908606,-0.919211974,-0.260745639,-1.094524421,-1.407677037,-0.087273972,-0.154665883,-0.677360324,0.525482903,-0.534374184,2.005876284,0.816707161,-0.228852966,0.924113616,-0.238522701,0.027973544,-0.353670848,-0.848099477,2.71157711,0.896586668,-0.388570706,1.0270835,-1.051661916,1.384706782,-0.150469766,0.393897079,-0.581123341,-0.294207503,0.734024559,-0.880413544,-0.717292175,-1.062193425,-0.825959995,0.008265192,0.214867947,0.813508876,-0.340729574,-0.535949641,1.108350996,1.267086208,1.279637085,-0.433215939,-0.419919363,0.089060928,0.268431668,1.06389381,-0.723525529,0.507738517,-0.554525415,-0.521009485,0.301344606,-0.417463476,0.069497828,-0.283445175,0.091896982,0.122791649
-1.712339242,0.337284806,0.795385546,-0.032280683,-0.505061526,0.714596664,-0.84593036,-0.209175588,-0.222972319,-0.993724153,0.276560118,-0.304854291,0.810135621,-0.379302038,-1.471000827,-0.356954228,1.167600629,-0.873322665,0.03640983,0.087772474,-1.523869935,-0.191732323,-0.045842668,-0.365208829,-0.709150632,0.632249787,-0.364149834,0.609626962,-1.298740672,0.267128132,0.428065526,-0.554134592,-0.466098635,1.355812533,-0.524165273,1.502807577,0.121376098,0.982264447,-0.529336375,-1.758610946,-0.479793461,-1.99880169,-1.093172118,0.850759855,0.594122761,-1.674916702,-0.114531972,-0.073509512,0.451891018,0.642930724,-0.347785105,0.635130108,-0.195594283,1.067268183,-1.088042893,-0.419079443,0.570963483,-1.402129258,-0.868221491,0.836967429,0.958940923,-0.111869028,-0.428197625,-0.413117549,-0.804323693,-0.45115536,-0.240917803,-0.036444643,-0.757612715,0.067916456,-0.477495271,0.732049209,-0.835674429,0.635748954,-0.371663113,-0.387610778,-0.327770047,-0.118710557,0.33297901,-1.189686318,-0.139047298,0.152513765,-0.165585946,-0.119706325,0.633021232,-1.473289087,0.122780813,0.446473464,1.040947275,0.283406142,-0.626570186,1.339410489,0.539969204,-0.596860332,0.024003736,0.15224181,0.371316669,-0.43749907,0.637658221,-1.372829551,-0.905019672,-0.004725437,0.74163827,-0.086532749,-1.571835141,-0.958050234,-0.608222344,-0.561285239,-0.205094578,-0.232377627,-0.273178179,-0.569917284
-0.941732926,-0.724935388,-0.903823151,-0.318389315,0.209141606,-1.204096098,-0.400179234,-1.224123127,0.224004118,-0.395410349,-0.355809169,-0.983515982,0.179526026,-0.038023425,0.476866798,-0.600643688,-0.848638646,0.641803156,0.639941171,0.03250659,0.010531643,0.011248245,-0.29555114,-0.299452822,-0.827533496,-0.454975851,0.453784087,-0.692401897,-1.217341698,-0.925611676,-0.007934946,-0.02638058,-0.405390146,0.461571445,-1.186994815,-1.064610347,-0.585958663,-0.412979925,-1.153826311,-0.693639321,-0.334079696,1.203757405,1.410906855,1.307757313,0.049548736,-0.200709881,0.798264771,0.005129275,-0.212471202,0.602885712,0.394136121,0.289443101,-0.12938934,-0.348447245,1.599759106,-0.500303051,0.450234949,-0.769353873,-0.629523858,-0.688889744,-0.819821058,-0.549833863,-0.259828325,0.032671323,-0.681984217,-0.790150177,0.208798134,-0.563599942,-0.412970666,-0.106801669,-0.522736633,-0.605018824,0.025477503,-0.423632617,0.15062803,-0.974758009,-0.296420652,-0.691293598,-0.311330762,0.276517627,0.054212739,0.332507842,-0.15154032,0.078085079,0.739685656,-0.544841702,-0.686931635,0.376656738,-0.728764698,-0.605141444,-1.047672755,0.102044724,0.031910223,-0.4579919,0.350636696,0.126436801,0.207978024,-0.344231984,-0.032276227,-0.383995167,0.3407437,-0.780902114,-0.347861282,-0.528013708,-0.664577834,-0.015196905,0.207658972,-0.377781907,-0.285053359,0.015562865,-0.732540456,-0.190693388
-1.321403679,-0.02322898,0.181326065,0.140036351,-0.474910844,-0.124724134,1.486022462,-0.567760536,-0.54999992,-0.895957572,-0.316880045,0.46853938,0.138571728,-0.259757324,-0.616433525,-0.187274128,0.017704216,-0.120559087,-0.596809489,-2.527931877,0.655897099,-0.375772114,-0.940106341,-0.622231021,0.140387822,-1.054516168,0.047789252,0.245806083,-0.54393958,-0.591580383,0.325799603,-0.480579417,0.438604727,0.634461822,-0.437576845,0.291273663,-0.515525017,-1.268508373,-0.584785574,-1.789787341,-0.918959522,-0.589055143,0.37827042,-0.063774273,-2.859994216,0.452347672,-1.181231577,0.773716677,-1.051484177,-0.772460792,0.887760568,-0.755776076,-0.655491299,1.330519127,-2.22240735,-0.166831857,0.356724781,-1.084359995,-0.597372027,-0.534281309,0.533686212,0.149113081,-0.391124398,-0.426098463,-0.717161965,-0.459224061,0.71896105,0.072507596,-0.301138995,-0.073344724,0.103699865,0.671546011,-0.383417339,-0.016152503,0.44959777,1.672888262,-0.258022713,0.338066663,-0.53427519,0.037697589,-0.011681075,-0.896297379,-0.167018903,-0.13619887,0.439126223,-0.767937873,0.081165096,-0.233076744,0.881095354,-0.843647907,0.079090383,0.902203016,0.85505652,0.164531739,0.441179616,0.712384076,1.261920958,0.098788466,0.685303987,-0.964576751,1.932844563,0.808847375,0.545662354,-0.379004257,-0.518811136,-0.388289803,0.581386831,0.147872882,-0.32342897,-0.156873544,-0.28675497,-0.328699284
